RANGO DE EDAD,ESTRATO SOCIOECONOMICO DE RESIDENCIA,PERTENECE A MINORIA,TIENE DISCAPACIDAD,PAÍS DE DESTINO,NIVEL ACADÉMICO,MODALIDAD,AÑO SELECCIÓN,GÉNERO
31 - 35 AÑOS,5,No,No,España,Maestría,Presencial,2021,Femenino
21 - 25 AÑOS,3,Si,No,España,Maestría,Presencial,2021,Masculino
36 - MÁS AÑOS,4,No,No,España,Maestría,Presencial,2021,Masculino
21 - 25 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,3,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,5,Si,No,España,Maestría,Presencial,2021,femenino
36 - MÁS AÑOS,1,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,2,Si,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,Masculino
21 - 25 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,5,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,5,No,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,3,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,2,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
36 - MÁS AÑOS,3,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,3,No,No,España,Maestría,Presencial,2021,Masculino
21 - 25 AÑOS,4,No,No,España,Maestría,Presencial,2021,Masculino
21 - 25 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,2,No,No,España,Maestría,Presencial,2021,Masculino
21 - 25 AÑOS,2,No,No,España,Maestría,Presencial,2021,Masculino
31 - 35 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
31 - 35 AÑOS,2,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,4,No,No,España,Maestría,Presencial,2021,Masculino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,4,No,No,España,Maestría,Presencial,2021,femenino
21 - 25 AÑOS,4,No,No,Japón,Pregrado,Presencial,2021,Masculino
26 - 30 AÑOS,3,No,No,Japón,Pregrado,Presencial,2021,Masculino
21 - 25 AÑOS,4,No,No,Japón,Pregrado,Presencial,2021,Masculino
36 - MÁS AÑOS,3,No,No,Chile,cursos cortos,Virtual,2021,femenino
36 - MÁS AÑOS,4,No,No,Chile,cursos cortos,Virtual,2021,femenino
36 - MÁS AÑOS,3,No,No,España,Maestría,Virtual,2021,femenino
36 - MÁS AÑOS,3,No,No,España,Maestría,Virtual,2021,Masculino
31 - 35 AÑOS,1,Si,No,España,Maestría,Virtual,2021,femenino
36 - MÁS AÑOS,2,No,No,España,Maestría,Virtual,2021,Masculino
26 - 30 AÑOS,3,No,No,España,Maestría,Virtual,2021,femenino
36 - MÁS AÑOS,2,No,No,España,Maestría,Virtual,2021,femenino
31 - 35 AÑOS,3,No,No,España,Maestría,Virtual,2021,femenino
26 - 30 AÑOS,2,No,No,España,Maestría,Virtual,2021,femenino
26 - 30 AÑOS,3,No,No,España,Maestría,Virtual,2021,femenino
31 - 35 AÑOS,4,No,No,España,Maestría,Virtual,2021,Masculino
31 - 35 AÑOS,2,No,No,España,Maestría,Virtual,2021,femenino
26 - 30 AÑOS,2,No,No,España,Maestría,Virtual,2021,femenino
31 - 35 AÑOS,5,No,No,España,Maestría,Virtual,2021,femenino
